Keyword,Currency,Segmentation,Avg. monthly searches,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic average position,Organic impression share,In Account,Searches: Jun 2020,Searches: Jul 2020,Searches: Aug 2020,Searches: Sep 2020,Searches: Oct 2020,Searches: Nov 2020,Searches: Dec 2020,Searches: Jan 2021,Searches: Feb 2021,Searches: Mar 2021,Searches: Apr 2021,Searches: May 2021
,,All,1.11E+07,,,,,,,,,,,,,,,,,,,,
,,United States,1.11E+07,,,,,,,,,,,,,,,,,,,,
active endpoint,USD,,50,Low,0,,,,,,,,,,,,,,,,,,
actus,USD,,5000,Low,0,0.49,1.07,,,,,,,,,,,,,,,,
ada,USD,,500000,Low,19,0.86,5.89,,,,,,,,,,,,,,,,
adalite,USD,,5000,Low,0,,,,,,,,,,,,,,,,,,
address,USD,,500000,Low,4,0.23,0.75,,,,,,,,,,,,,,,,
adrestia,USD,,5000,Low,0,,,,,,,,,,,,,,,,,,
airdrop,USD,,50000,Low,1,0.84,4.2,,,,,,,,,,,,,,,,
alice bob,USD,,500,Low,0,,,,,,,,,,,,,,,,,,
altcoins,USD,,50000,Low,20,1.72,14.31,,,,,,,,,,,,,,,,
asic,USD,,500000,High,100,0.98,11.64,,,,,,,,,,,,,,,,
asset group,USD,,500,Low,0,,,,,,,,,,,,,,,,,,
atomic swap,USD,,500,Low,1,2.62,14.6,,,,,,,,,,,,,,,,
balance wallet,USD,,500,Low,10,2.34,8.6,,,,,,,,,,,,,,,,
basho,USD,,5000,Low,1,0.66,1.96,,,,,,,,,,,,,,,,
bft,USD,,50000,Low,2,1.17,3.02,,,,,,,,,,,,,,,,
block,USD,,500000,Medium,49,0.54,1.55,,,,,,,,,,,,,,,,
byron,USD,,50000,Low,1,0.28,0.38,,,,,,,,,,,,,,,,
cfd,USD,,50000,Low,0,1.72,7.76,,,,,,,,,,,,,,,,
chain,USD,,500000,High,100,0.52,1.52,,,,,,,,,,,,,,,,
cold wallet,USD,,5000,High,100,0.81,9.52,,,,,,,,,,,,,,,,
consensus,USD,,500000,Low,3,7.09,9.21,,,,,,,,,,,,,,,,
contract application,USD,,50,Medium,35,2.04,8.25,,,,,,,,,,,,,,,,
contract executable,USD,,,,,,,,,,,,,,,,,,,,,,
cost per epoch,USD,,,,,,,,,,,,,,,,,,,,,,
crypto mining,USD,,50000,High,99,1.28,11.84,,,,,,,,,,,,,,,,
cryptocurrency wallet,USD,,5000,High,100,3.38,16.85,,,,,,,,,,,,,,,,
currency,USD,,500000,Low,23,1.72,158.39,,,,,,,,,,,,,,,,
daedalus,USD,,50000,Low,0,1.12,2.46,,,,,,,,,,,,,,,,
dapp,USD,,50000,Low,5,2.05,13.7,,,,,,,,,,,,,,,,
datum,USD,,50000,Low,0,,,,,,,,,,,,,,,,,,
de fi,USD,,5000,Low,8,0.27,1.92,,,,,,,,,,,,,,,,
decentralized,USD,,50000,Low,0,0.48,3.29,,,,,,,,,,,,,,,,
delegate,USD,,500000,Low,0,0.64,8,,,,,,,,,,,,,,,,
digital asset,USD,,5000,Low,23,2.22,8.18,,,,,,,,,,,,,,,,
double spending problem,USD,,500,Low,0,,,,,,,,,,,,,,,,,,
emurgo,USD,,500,Low,2,2.73,22.5,,,,,,,,,,,,,,,,
endpoint,USD,,50000,Low,6,5.82,13.78,,,,,,,,,,,,,,,,
epoch,USD,,500000,Low,5,0.82,1.23,,,,,,,,,,,,,,,,
eutxo,USD,,,,,,,,,,,,,,,,,,,,,,
fake stake,USD,,5000,High,99,1.63,2.22,,,,,,,,,,,,,,,,
faucet,USD,,500000,High,100,0.62,1.62,,,,,,,,,,,,,,,,
fee,USD,,50000,Low,2,0.58,7.21,,,,,,,,,,,,,,,,
fifty one percent attack,USD,,,,,,,,,,,,,,,,,,,,,,
forging,USD,,500000,Low,13,2.25,3.49,,,,,,,,,,,,,,,,
forging context,USD,,,,,,,,,,,,,,,,,,,,,,
forging policy script,USD,,,,,,,,,,,,,,,,,,,,,,
fork,USD,,500000,Medium,58,0.32,1.21,,,,,,,,,,,,,,,,
fungible token asset,USD,,,,,,,,,,,,,,,,,,,,,,
genesis block,USD,,5000,Low,4,2.07,10.82,,,,,,,,,,,,,,,,
goguen,USD,,5000,Low,0,,,,,,,,,,,,,,,,,,
hard fork,USD,,500,Low,4,0.82,2.26,,,,,,,,,,,,,,,,
hardware wallet,USD,,5000,High,100,0.19,2.78,,,,,,,,,,,,,,,,
hodl,USD,,50000,Low,1,4.06,19.65,,,,,,,,,,,,,,,,
hot wallet,USD,,500,Low,16,1.63,15.7,,,,,,,,,,,,,,,,
hydra,USD,,500000,Low,0,0.77,4.54,,,,,,,,,,,,,,,,
incentive,USD,,50000,Low,0,1.17,3.95,,,,,,,,,,,,,,,,
interoperability,USD,,50000,Low,5,4.33,32.07,,,,,,,,,,,,,,,,
iog,USD,,5000,Low,0,,,,,,,,,,,,,,,,,,
ipfs,USD,,50000,Low,0,0.56,1.7,,,,,,,,,,,,,,,,
key pair,USD,,500,Low,2,,,,,,,,,,,,,,,,,,
ledger,USD,,50000,Medium,60,3.33,17.31,,,,,,,,,,,,,,,,
ledger wallet,USD,,50000,Medium,60,0.29,14.82,,,,,,,,,,,,,,,,
live stake,USD,,500,Low,12,0.3,0.57,,,,,,,,,,,,,,,,
lovelace,USD,,50000,Low,0,0.4,1.98,,,,,,,,,,,,,,,,
mainnet,USD,,5000,Low,7,3.51,22.41,,,,,,,,,,,,,,,,
marlowe,USD,,50000,Low,3,0.29,1.8,,,,,,,,,,,,,,,,
metadata,USD,,50000,Low,1,0.65,6.9,,,,,,,,,,,,,,,,
minting,USD,,50000,High,100,0.5,6.31,,,,,,,,,,,,,,,,
minting transaction,USD,,,,,,,,,,,,,,,,,,,,,,
multi asset,USD,,500,Low,2,2,8.75,,,,,,,,,,,,,,,,
multisig,USD,,500,Low,1,2.61,29.27,,,,,,,,,,,,,,,,
native token,USD,,50,Low,2,2,26.55,,,,,,,,,,,,,,,,
network,USD,,500000,Low,4,1.03,4.01,,,,,,,,,,,,,,,,
nft,USD,,500000,Low,11,1.77,7.05,,,,,,,,,,,,,,,,
obft,USD,,50,Low,0,,,,,,,,,,,,,,,,,,
off chain code,USD,,,,,,,,,,,,,,,,,,,,,,
on chain code,USD,,,,,,,,,,,,,,,,,,,,,,
oracle,USD,,500000,Low,1,1.16,8.37,,,,,,,,,,,,,,,,
oracle pool,USD,,50,Low,2,,,,,,,,,,,,,,,,,,
ouroboros,USD,,500000,Low,2,2.76,10.13,,,,,,,,,,,,,,,,
pab client api,USD,,,,,,,,,,,,,,,,,,,,,,
passive node,USD,,50,Low,0,,,,,,,,,,,,,,,,,,
peer discovery,USD,,50,Low,3,,,,,,,,,,,,,,,,,,
peer to peer,USD,,5000,Low,5,0.92,2.6,,,,,,,,,,,,,,,,
pledge,USD,,50000,High,80,0.24,2.39,,,,,,,,,,,,,,,,
plutus,USD,,5000,Low,0,,,,,,,,,,,,,,,,,,
plutus application,USD,,,,,,,,,,,,,,,,,,,,,,
plutus application backend,USD,,,,,,,,,,,,,,,,,,,,,,
plutus core,USD,,,,,,,,,,,,,,,,,,,,,,
plutus ir,USD,,,,,,,,,,,,,,,,,,,,,,
plutus platform,USD,,,,,,,,,,,,,,,,,,,,,,
plutus sdk,USD,,,,,,,,,,,,,,,,,,,,,,
plutus tx,USD,,,,,,,,,,,,,,,,,,,,,,
private key,USD,,5000,Low,4,0.82,9.48,,,,,,,,,,,,,,,,
produced blocks,USD,,,,,,,,,,,,,,,,,,,,,,
proof of stake po s,USD,,,,,,,,,,,,,,,,,,,,,,
proof of work,USD,,5000,Low,0,0.36,0.72,,,,,,,,,,,,,,,,
protocol,USD,,50000,Low,1,0.98,4.81,,,,,,,,,,,,,,,,
public key,USD,,5000,Low,1,1.63,8.63,,,,,,,,,,,,,,,,
redeemer,USD,,50000,Low,0,1.34,4.05,,,,,,,,,,,,,,,,
reward,USD,,50000,Low,10,0.64,1.63,,,,,,,,,,,,,,,,
rewards wallet,USD,,50,Low,12,2.01,12.65,,,,,,,,,,,,,,,,
satoshi,USD,,50000,Low,4,2.45,27.47,,,,,,,,,,,,,,,,
satoshi labs,USD,,500,Low,6,2.43,17.66,,,,,,,,,,,,,,,,
saturation,USD,,50000,Low,0,,,,,,,,,,,,,,,,,,
schema,USD,,50000,Low,0,0.6,2.69,,,,,,,,,,,,,,,,
script,USD,,50000,Low,1,1.05,8.31,,,,,,,,,,,,,,,,
script output,USD,,50,Low,0,,,,,,,,,,,,,,,,,,
securitization,USD,,5000,Low,1,4.45,10.6,,,,,,,,,,,,,,,,
security token,USD,,5000,Low,26,1.64,4.94,,,,,,,,,,,,,,,,
shelly,USD,,50000,Low,1,0.24,1.22,,,,,,,,,,,,,,,,
slot,USD,,50000,Low,17,1.91,9.55,,,,,,,,,,,,,,,,
slot leader,USD,,50,Low,0,,,,,,,,,,,,,,,,,,
smart contract,USD,,50000,Low,7,1.06,15,,,,,,,,,,,,,,,,
stablecoin,USD,,5000,Low,22,0.66,2.08,,,,,,,,,,,,,,,,
stake pool,USD,,500,Low,31,0.61,5.4,,,,,,,,,,,,,,,,
stake pool operator spo,USD,,,,,,,,,,,,,,,,,,,,,,
stake pool performance,USD,,,,,,,,,,,,,,,,,,,,,,
stake pool profit margin,USD,,,,,,,,,,,,,,,,,,,,,,
staking,USD,,5000,Low,8,0.25,1.72,,,,,,,,,,,,,,,,
sybil attack,USD,,5000,Low,0,,,,,,,,,,,,,,,,,,
testnet,USD,,5000,Low,2,1.35,4.46,,,,,,,,,,,,,,,,
token,USD,,50000,Low,22,1.38,10.4,,,,,,,,,,,,,,,,
token minting,USD,,500,Low,14,1.9,7.6,,,,,,,,,,,,,,,,
tokenization,USD,,50000,Low,8,4.21,17.5,,,,,,,,,,,,,,,,
tps,USD,,50000,Low,2,1.41,10,,,,,,,,,,,,,,,,
trezor,USD,,50000,High,79,0.48,10.81,,,,,,,,,,,,,,,,
trezor wallet,USD,,50000,High,95,0.45,3.45,,,,,,,,,,,,,,,,
trusted peer,USD,,50,Low,0,,,,,,,,,,,,,,,,,,
utility token,USD,,500,Low,5,1.62,19.44,,,,,,,,,,,,,,,,
utxo,USD,,5000,Low,1,2.8,16.48,,,,,,,,,,,,,,,,
validation context,USD,,,,,,,,,,,,,,,,,,,,,,
validator script,USD,,50,Low,0,,,,,,,,,,,,,,,,,,
voltaire,USD,,50000,Low,0,2,2,,,,,,,,,,,,,,,,
whale,USD,,500000,Medium,33,0.69,2,,,,,,,,,,,,,,,,
yoroi,USD,,5000,Low,0,4.55,19.25,,,,,,,,,,,,,,,,
zero knowledge proof,USD,,5000,Low,1,0.35,0.76,,,,,,,,,,,,,,,,